id,q1,q2,q3,q4,q5,language
51,3,性价比很高，值得购买。,希望增加更多自定义选项。,4,感谢你们的优质服务！,zh
52,3,Producto de alta calidad y bien diseñado.,La navegación del sitio web es confusa.,2,Lo recomendaré a mis amigos.,es
53,4,客服服务非常周到。,发货速度可以更快一些。,5,感谢你们的优质服务！,zh
54,2,価格に見合った価値があります。,カスタマイズの選択肢をもっと増やしてほしいです。,1,このまま頑張ってください！,ja
55,2,Producto de alta calidad y bien diseñado.,El soporte tardó en responder.,1,Espero futuras actualizaciones.,es
56,3,Service client exceptionnel.,La livraison pourrait être plus rapide.,2,Merci pour cette excellente expérience.,fr
57,4,Very easy to use and intuitive.,Mobile app needs improvements.,5,Thanks for a great experience!,en
58,2,Livraison rapide et support utile.,Le support a mis du temps à répondre.,1,Continuez comme ça !,fr
59,5,物流很快，客服也很好。,希望增加更多自定义选项。,3,感谢你们的优质服务！,zh
60,4,The customer service was exceptional.,Support was a bit slow to respond.,2,Hope you expand to more regions.,en
61,5,Loved the fast shipping and helpful support.,Navigation on the website is confusing.,2,Thanks for a great experience!,en
62,5,The customer service was exceptional.,Mobile app needs improvements.,2,Keep up the good work!,en
63,3,Service client exceptionnel.,Le support a mis du temps à répondre.,3,Merci pour cette excellente expérience.,fr
64,5,Great pricing for the value.,More customization options would be nice.,4,Looking forward to future updates.,en
65,3,产品质量很好，设计也不错。,希望增加更多自定义选项。,2,期待你们的新功能。,zh
66,2,产品质量很好，设计也不错。,客服响应有点慢。,2,期待你们的新功能。,zh
67,1,高品質でよく設計された製品です。,カスタマイズの選択肢をもっと増やしてほしいです。,3,このまま頑張ってください！,ja
68,1,Très facile à utiliser et intuitif.,La livraison pourrait être plus rapide.,3,Espérons que vous vous développiez davantage.,fr
69,5,Great pricing for the value.,Support was a bit slow to respond.,3,Keep up the good work!,en
70,1,Very easy to use and intuitive.,More customization options would be nice.,1,Thanks for a great experience!,en
71,5,高品質でよく設計された製品です。,サポートの対応が少し遅かったです。,3,今後のアップデートが楽しみです。,ja
72,1,El servicio al cliente fue excelente.,La navegación del sitio web es confusa.,3,Espero futuras actualizaciones.,es
73,3,Produit de haute qualité et bien conçu.,Le support a mis du temps à répondre.,2,Merci pour cette excellente expérience.,fr
74,5,Produit de haute qualité et bien conçu.,Le support a mis du temps à répondre.,2,Continuez comme ça !,fr
75,5,高品質でよく設計された製品です。,サポートの対応が少し遅かったです。,4,このまま頑張ってください！,ja
76,5,高品質でよく設計された製品です。,カスタマイズの選択肢をもっと増やしてほしいです。,1,もっと多くの地域で利用できるようにしてください。,ja
77,2,価格に見合った価値があります。,サイトのナビゲーションがわかりにくいです。,1,今後のアップデートが楽しみです。,ja
78,2,Entrega rápida y soporte amable.,El soporte tardó en responder.,1,Gracias por una gran experiencia.,es
79,5,Buena relación calidad-precio.,El soporte tardó en responder.,4,¡Sigan así!,es
80,3,性价比很高，值得购买。,希望增加更多自定义选项。,5,继续保持！,zh
81,4,The customer service was exceptional.,Navigation on the website is confusing.,3,Looking forward to future updates.,en
82,3,El servicio al cliente fue excelente.,El soporte tardó en responder.,1,Lo recomendaré a mis amigos.,es
83,5,配送が早く、サポートも親切でした。,カスタマイズの選択肢をもっと増やしてほしいです。,4,素晴らしい体験をありがとうございました！,ja
84,4,高品質でよく設計された製品です。,モバイルアプリの改善が必要です。,2,もっと多くの地域で利用できるようにしてください。,ja
85,1,配送が早く、サポートも親切でした。,サポートの対応が少し遅かったです。,3,友人に勧めます。,ja
86,5,Service client exceptionnel.,La livraison pourrait être plus rapide.,3,Merci pour cette excellente expérience.,fr
87,5,Produit de haute qualité et bien conçu.,L'application mobile doit être améliorée.,5,Continuez comme ça !,fr
88,4,产品质量很好，设计也不错。,客服响应有点慢。,2,期待你们的新功能。,zh
89,1,Loved the fast shipping and helpful support.,Navigation on the website is confusing.,1,Hope you expand to more regions.,en
90,4,配送が早く、サポートも親切でした。,配送時間をもっと短くしてほしいです。,5,このまま頑張ってください！,ja
91,2,Livraison rapide et support utile.,Le support a mis du temps à répondre.,3,Hâte de voir les prochaines mises à jour.,fr
92,2,配送が早く、サポートも親切でした。,配送時間をもっと短くしてほしいです。,4,このまま頑張ってください！,ja
93,5,Producto de alta calidad y bien diseñado.,El soporte tardó en responder.,2,Espero futuras actualizaciones.,es
94,2,Produit de haute qualité et bien conçu.,Plus d'options de personnalisation seraient bienvenues.,3,Hâte de voir les prochaines mises à jour.,fr
95,5,とても使いやすく直感的です。,配送時間をもっと短くしてほしいです。,2,今後のアップデートが楽しみです。,ja
96,1,カスタマーサービスが素晴らしかったです。,配送時間をもっと短くしてほしいです。,2,今後のアップデートが楽しみです。,ja
97,5,非常容易使用，界面友好。,希望增加更多自定义选项。,4,感谢你们的优质服务！,zh
98,3,配送が早く、サポートも親切でした。,モバイルアプリの改善が必要です。,5,素晴らしい体験をありがとうございました！,ja
99,1,产品质量很好，设计也不错。,网站导航有点混乱。,5,期待你们的新功能。,zh
100,2,価格に見合った価値があります。,サイトのナビゲーションがわかりにくいです。,1,もっと多くの地域で利用できるようにしてください。,ja
